region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Stockholm,1121,3,58,3617,2940000,2495000,1946
Stockholm,729,3,77,3199,7600000,6495000,1902
Stockholm,829,4,78,4044,4595000,4700000,1946
Sundbyberg,1044,2,50,2291,3625000,3625000,2016
Stockholm,1484,3,56.5,3830,3100000,2675000,1945
Stockholm,1249,2,42,3281,2500000,2190000,1944
Stockholm,493,2,52,2631,3850000,3695000,1937
Stockholm,1149,3,76,4231,8450000,6495000,1928
Stockholm,1175,3,68,2844,4100000,3895000,1948
Sundbyberg,1036,1,39,2996,2195000,2195000,1942
Stockholm,1370,2,40,2778,2500000,2500000,1939
Stockholm,1278,1.5,41,2571,2420000,1995000,2013
Stockholm,1510,2,55,3059,2850000,2375000,1944
Nacka,1949,4,72.5,4355,2875000,2875000,1960
Stockholm,460,5,133,8028,9900000,8975000,1991
Sundbyberg,2312,4,100,4975,4650000,4695000,2012
Stockholm,1333,3,77,4236,4740000,4595000,2016
Solna,1028,1,25,1523,2200000,1795000,1940
Stockholm,1412,2,51,3410,2850000,2395000,1946
Nacka,2960,1,20,1354,1400000,1150000,2017
Sollentuna,2170,2,51,3764,1775000,1695000,1987
Stockholm,922,4,88,1978,6725000,5995000,1969
Stockholm,883,2,57,2330,3150000,2750000,1944
Stockholm,705,2,59,1926,6500000,6500000,1897
Sundbyberg,882,3,75,5542,3850000,3495000,1967
Stockholm,409,1.5,44,2070,3800000,2995000,1981
Stockholm,1516,2,39,2162,2510000,1995000,1940
Stockholm,996,3,79,4242,3990000,3695000,2018
Stockholm,729,2,59,2395,5350000,4950000,1926
Sundbyberg,1494,2,68.8,3191,1950000,1950000,1972
Stockholm,1565,3,72,3799,2650000,2195000,1956
Solna,557,2,62,3539,3420000,3195000,2013
Solna,1044,4,97,5416,6350000,6350000,2019
Solna,1047,1,27.5,2101,1950000,1650000,1998
Stockholm,1073,3,66,4719,3900000,3495000,1998
Stockholm,302,1,22,1455,2500000,2395000,1959
Stockholm,1262,2.5,57.5,3831,2500000,2275000,1959
Stockholm,1314,2,64,3938,3950000,3695000,2004
Stockholm,1162,2,51,2384,3000000,2695000,2004
Stockholm,490,3,77,4456,4637000,4695000,1967
Stockholm,1069,2,42,2982,2630000,2095000,1967
Stockholm,1031,3,80.2,5071,4700000,4395000,2000
Stockholm,1063,1,28,1560,2800000,2395000,1929
Stockholm,1245,1,18,1508,1700000,1495000,1952
Stockholm,474,2,64,2057,6200000,5750000,1893
Stockholm,915,3,86,3510,8050000,6995000,1929
Stockholm,1275,4,127,6282,6450000,5295000,2008
Nacka,1415,3.5,93,4325,12100000,12500000,2014
Stockholm,878,3,60,2494,4150000,4150000,2014
Stockholm,1636,3,75.5,3948,2800000,2250000,1955
Stockholm,856,2,58,3776,3020000,2395000,1947
Sollentuna,1495,3,76,4750,2995000,2995000,2016
Stockholm,2222,3,65,5042,2150000,1995000,2005
Nacka,1166,1.5,43,2944,2625000,2495000,2005
Stockholm,807,2,43,2495,3400000,3150000,1938
Stockholm,2692,2,54,3343,2170000,1895000,2017
Stockholm,2006,2.5,59,3329,2400000,2095000,1952
Sollentuna,2250,3,66,3489,2100000,2195000,1963
Stockholm,1189,2,54,3213,4125000,4250000,2014
Stockholm,1983,3,76,4190,3300000,3300000,2009
Stockholm,1424,3,60.5,3843,2490000,2490000,2014
Stockholm,1109,3,68,3810,5150000,4495000,1932
Stockholm,1444,2,50,3395,3700000,2995000,1944
Solna,748,2,60.5,3383,3410000,3195000,1971
Stockholm,1591,1,42,3088,2410000,1850000,1954
Nacka,1738,3,77.5,4526,4250000,3995000,1966
Nacka,2452,2,46,2725,2595000,2595000,2017
Stockholm,1490,2,65,3984,1750000,1695000,1978
Stockholm,804,2,38,2760,3380000,2995000,1937
Solna,1114,4,100.5,4356,4250000,4150000,1962
Stockholm,454,3,84,3624,7250000,6995000,1974
Solna,1475,3,80,3449,4300000,3795000,2011
Stockholm,2091,1,32,2665,2230000,1995000,2013
Stockholm,1267,1,32,1801,2220000,1795000,2012
Stockholm,1665,3,67,3130,2540000,2600000,2010
Stockholm,646,3,81,4016,5700000,5750000,2011
Solna,923,2,57.5,2982,3050000,3050000,1965
Stockholm,1655,3,75,4894,2600000,2495000,1966
Stockholm,1261,2,55,3143,3600000,2995000,2011
Stockholm,1213,2,50,2896,2450000,2195000,1945
Stockholm,1409,2,69,3867,2600000,2550000,1995
Sollentuna,1867,3,68,3963,3400000,3195000,2013
